TERM,SNOMED_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Shopping independent,129026007,83.000,83.000,6,6480,0.000926,7,1.17,,,,
Chest X-ray,399208008,76.000,75.500,6,6480,0.000926,6,1,,,,
Urine protein normal,167450007,78.000,77.500,6,6480,0.000926,6,1,,,,
Cervical smear - inadequate specimen,168402006,38.000,38.000,6,6480,0.000926,6,1,,,,
Fundoscopy,53524009,64.000,63.000,6,6480,0.000926,7,1.17,,,,
Shared decision making with patient decision aid,815711000000109,70.500,70.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
Bowel cancer screening programme faecal occult blood testing incomplete participation,384241000000100,70.500,70.500,6,6480,0.000926,6,1,,,,
Initial diabetic assessment,170743005,70.500,70.500,6,6480,0.000926,6,1,,,,
Forced vital capacity (FVC)/expected Forced vital capacity (FVC) percent,407576000,76.000,76.000,6,6480,0.000926,7,1.17,74.666666667,73,9.07009739,75
Hypertensive disorder,38341003,79.000,79.000,6,6480,0.000926,10,1.67,,,,
Urothelial carcinoma,27090000,75.000,74.000,6,6480,0.000926,7,1.17,,,,
Carer,229774002,73.000,72.000,6,6480,0.000926,6,1,,,,
Signposting to weight management service,1083431000000109,69.500,68.500,6,6480,0.000926,6,1,NaN,NaN,,NaN
Bronchodilator not used in last month,824981000000109,76.500,76.000,6,6480,0.000926,6,1,NaN,NaN,NaN,NaN
24 hour urine output,395060000,81.000,80.000,6,6480,0.000926,9,1.5,1.985,1.743,0.7089405241,2.5
Referred to District Nursing Service,1775391000006104,86.000,85.000,6,6480,0.000926,9,1.5,,,,
Consultation for minor illness,1771751000006108,74.000,74.000,6,6480,0.000926,60,10,,,,
Administration of first dose of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccine,1324681000000101,81.000,80.500,6,6480,0.000926,6,1,,,,
Novel oral anticoagulant annual review,1929091000006107,77.000,77.000,6,6480,0.000926,6,1,,,,
Musculoskeletal system physical examination,363215001,78.000,78.000,6,6480,0.000926,6,1,,,,
On end of life care register,526631000000108,82.500,82.000,6,6480,0.000926,6,1,,,,
C/O: dry skin,416247002,71.000,70.000,6,6480,0.000926,6,1,NaN,NaN,NaN,NaN
Referral to nurse practitioner,306338003,76.000,75.000,6,6480,0.000926,14,2.33,,,,
Seen in fast track suspected lung cancer clinic,382681000000102,77.000,77.000,6,6480,0.000926,7,1.17,,,,
QOF (Quality and Outcomes Framework) stroke and transient ischaemic attack quality indicator-related care invitation,1110981000000104,83.000,82.500,6,6480,0.000926,8,1.33,,,,
Nutritional assessment completed,391132008,81.500,81.000,6,6480,0.000926,6,1,,,,
Urine blood test,1019581000000105,63.000,62.500,6,6480,0.000926,6,1,,,,
QCancer prostate cancer risk,874211000000109,66.500,65.500,6,6480,0.000926,6,1,0.8,0.7,0.5059644256,0.7
Alcohol units consumed per day,1082631000000102,77.500,77.000,6,6480,0.000926,6,1,0.6666666667,0,1.211060142,0
At risk of heart disease,161639008,71.000,71.000,6,6480,0.000926,9,1.5,,,,
Cyst of ovary,79883001,74.000,74.000,6,6480,0.000926,7,1.17,,,,
BP screen - 3rd recall,185671002,71.000,70.000,6,6480,0.000926,7,1.17,,,,
Detrusor instability,61033006,59.000,59.000,6,6480,0.000926,7,1.17,,,,
Fruit and vegetable intake,391129005,71.500,71.500,6,6480,0.000926,6,1,4.833333333,5,0.9831920803,5
Patient requests copy of medical record,345681000000104,68.000,67.500,6,6480,0.000926,6,1,,,,
Normal body mass index,35425004,77.000,76.000,6,6480,0.000926,8,1.33,22.74,22.81,1.748246741,24.99
MED5 - doctor's special statement,1361000000108,52.000,52.000,6,6480,0.000926,9,1.5,,,,
Healthy lifestyle programme declined,377651000000102,77.000,77.000,6,6480,0.000926,6,1,,,,
Cholesterol reduction programme - invited,310879007,74.500,74.500,6,6480,0.000926,6,1,,,,
CT scan brain - normal,408568004,62.000,61.000,6,6480,0.000926,6,1,,,,
Examination of ear,225670007,75.500,74.500,6,6480,0.000926,6,1,,,,
Plain X-ray knee abnormal,168668004,70.000,70.000,6,6480,0.000926,6,1,,,,
Ear discharge present,162364004,79.000,78.000,6,6480,0.000926,6,1,,,,
Seen by stoma nurse,305750000,74.500,74.000,6,6480,0.000926,6,1,,,,
Equipment loaned to patient,21801000000106,73.000,72.000,6,6480,0.000926,7,1.17,,,,
Fracture of ankle,16114001,75.000,75.000,6,6480,0.000926,12,2,,,,
Further opinion sought,310343007,73.000,73.000,6,6480,0.000926,6,1,,,,
Abscess,128477000,78.000,78.000,6,6480,0.000926,10,1.67,,,,
US heart scan,40701008,76.500,75.500,6,6480,0.000926,6,1,,,,
Stable angina,233819005,78.000,78.000,6,6480,0.000926,10,1.67,NaN,NaN,NaN,NaN
O/E - Left cataract absent,308091006,71.000,70.000,6,6480,0.000926,6,1,,,,
Issue of repeat prescription for medication,803911000000108,82.000,81.000,6,6480,0.000926,6,1,,,,
Bullous pemphigoid,77090002,92.000,91.000,6,6480,0.000926,21,3.5,,,,
GMS - full registration,24801000000108,77.500,77.000,6,6480,0.000926,6,1,NaN,NaN,NaN,NaN
Neoplasm of urinary bladder,126885006,75.500,75.000,6,6480,0.000926,6,1,,,,
Cancer care plan discussed with patient,395673000,77.000,76.000,6,6480,0.000926,6,1,,,,
Oral thrush,79740000,75.000,75.000,6,6480,0.000926,9,1.5,,,,
Subclinical hypothyroidism,54823002,73.000,72.000,6,6480,0.000926,7,1.17,,,,
Early morning urine,269949006,76.000,76.000,6,6480,0.000926,6,1,,,,
Aerobic exercise 1 time/week,160637002,80.000,80.000,6,6480,0.000926,6,1,,,,
Haemospermia,34615008,51.000,51.000,6,6480,0.000926,11,1.83,NaN,NaN,NaN,NaN
Regimes and therapies,243120004,62.000,61.000,6,6480,0.000926,13,2.17,,,,
Faeces appearance,1005641000000104,72.000,72.000,6,6480,0.000926,7,1.17,,,,
Seen in fast track suspected breast cancer clinic,382431000000103,77.000,76.000,6,6480,0.000926,7,1.17,,,,
GIT symptoms,267045008,77.000,76.000,6,6480,0.000926,8,1.33,,,,
Frequency of urination,364198000,75.000,75.000,6,6480,0.000926,7,1.17,,,,
Thrombophlebitis of superficial veins of lower extremity,40283005,60.000,60.000,6,6480,0.000926,9,1.5,,,,
Patient entered into trial,185923000,81.500,80.500,6,6480,0.000926,10,1.67,,,,
Impaired glucose tolerance test,166927002,71.500,70.500,6,6480,0.000926,6,1,NaN,NaN,,NaN
Independent in cooking,710763006,83.500,83.000,6,6480,0.000926,8,1.33,,,,
Referral to oral surgeon,406158007,63.000,63.000,6,6480,0.000926,6,1,,,,
CKD G3bA1 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1,950061000000103,85.000,85.000,6,6480,0.000926,8,1.33,,,,
Observation of Waterlow pressure sore risk score,201221000000101,84.000,83.000,6,6480,0.000926,8,1.33,13,13.5,6.502746672,18
Refer to optician,308465004,66.000,65.500,6,6480,0.000926,8,1.33,,,,
Rotator cuff,7885001,79.000,78.500,6,6480,0.000926,6,1,,,,
Low suicide risk,394687007,63.500,62.500,6,6480,0.000926,6,1,NaN,NaN,,NaN
Over-the-counter medication education,183053008,76.000,76.000,6,6480,0.000926,7,1.17,NaN,NaN,,NaN
Serum rheumatoid antigen level,993581000000100,57.500,56.500,6,6480,0.000926,6,1,15.5,15.5,7.778174593,10
MRI scan abnormal,169083003,65.000,65.000,6,6480,0.000926,6,1,,,,
Referral to ultrasonography service,306142005,76.000,76.000,6,6480,0.000926,6,1,,,,
Ingrowing great toenail,201108001,75.000,75.000,6,6480,0.000926,7,1.17,,,,
Sodium level,1020681000000107,79.000,78.000,6,6480,0.000926,6,1,141.833333333,143,2.714160398,144
Pain control,225782006,74.000,73.000,6,6480,0.000926,7,1.17,,,,
SOBOE,60845006,73.000,73.000,6,6480,0.000926,7,1.17,,,,
Joint British Societies cardiovascular disease risk ten percent to twenty percent over next ten years,166721000000102,69.000,69.000,6,6480,0.000926,6,1,12.506666667,13.06,0.9584014469,13.06
Medication review with carer,1920671000006105,84.000,83.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
Reversibility trial by bronchodilator,415299008,78.000,77.500,6,6480,0.000926,6,1,NaN,NaN,,NaN
On examination - left posterior tibial pulse absent,163119003,70.000,69.500,6,6480,0.000926,6,1,,,,
Fundoscopy abnormal,164735009,79.000,78.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
Treatment,716151000000103,74.000,73.500,6,6480,0.000926,8,1.33,NaN,NaN,NaN,NaN
Degenerative lumbar spinal stenosis,202788007,78.000,77.000,6,6480,0.000926,7,1.17,NaN,NaN,,NaN
Private referral to gynaecologist,183886008,71.500,71.500,6,6480,0.000926,6,1,NaN,NaN,,NaN
Transvaginal ultrasound scan,13205008,62.000,61.500,6,6480,0.000926,6,1,,,,
Atrophy of vagina,297147009,73.000,72.500,6,6480,0.000926,8,1.33,,,,
Generally unwell,213257006,82.000,82.000,6,6480,0.000926,7,1.17,,,,
Hyperglycaemia,80394007,74.000,74.000,6,6480,0.000926,10,1.67,,,,
Gynaecomastia,4754008,81.000,81.000,6,6480,0.000926,8,1.33,,,,
Urine microscopy: no casts,167336003,59.000,59.000,6,6480,0.000926,16,2.67,,,,
Discharged from community mental health service,306901000000100,63.000,62.500,6,6480,0.000926,6,1,,,,
Echocardiography report received,862551000000108,80.000,79.500,6,6480,0.000926,6,1,,,,
Finding of limb structure,302293008,76.500,76.000,6,6480,0.000926,6,1,,,,
Swab sent to Lab,165340006,72.000,72.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
Biliary colic,37389005,73.000,73.000,6,6480,0.000926,7,1.17,,,,
Cervical smear screening invitation first short message service text,836461000000103,59.000,58.000,6,6480,0.000926,6,1,,,,
Education about treatment regime,710534005,74.000,74.000,6,6480,0.000926,10,1.67,,,,
Pigmented skin lesion,201340008,69.000,69.000,6,6480,0.000926,9,1.5,,,,
ECG: atrial flutter,164890007,83.500,83.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
Urine test due,165350007,72.000,71.000,6,6480,0.000926,6,1,,,,
Removal of suture,30549001,70.500,70.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
No nervous symptoms,162190005,78.500,77.500,6,6480,0.000926,6,1,NaN,NaN,,NaN
Failed to make choice and booking hospital appointment,504661000000101,73.000,73.000,6,6480,0.000926,9,1.5,,,,
Exercise history,266930008,71.000,70.000,6,6480,0.000926,7,1.17,NaN,NaN,NaN,NaN
Deafness,15188001,67.000,66.000,6,6480,0.000926,8,1.33,,,,
Pain in calf,300954003,79.000,79.000,6,6480,0.000926,12,2,,,,
Plasma random glucose level,1031331000000106,62.500,62.000,6,6480,0.000926,6,1,NaN,7.1,NaN,7.7
"Acute meniscal tear, medial",269113006,61.000,61.000,6,6480,0.000926,22,3.67,,,,
Referral to orthopaedic special interest general practitioner,326251000000100,74.000,74.000,6,6480,0.000926,7,1.17,,,,
Recall arranged,183641008,73.000,72.000,6,6480,0.000926,6,1,,,,
Consent given to receive non-clinical information by SMS text messaging,2024351000006106,65.000,64.000,6,6480,0.000926,7,1.17,,,,
Shingles vaccination invitation,895931000000104,75.000,74.000,6,6480,0.000926,9,1.5,,,,
Erosive gastritis,1086791000119100,77.500,77.500,6,6480,0.000926,6,1,,,,
Certificates administration,714381000000101,69.500,69.000,6,6480,0.000926,6,1,,,,
Constipated,14760008,72.000,71.000,6,6480,0.000926,10,1.67,,,,
Evaluation procedure,386053000,77.500,77.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
Small vessel cerebrovascular disease,443929000,74.000,73.000,6,6480,0.000926,7,1.17,,,,
Referral for bone density scan,201971000000106,74.500,74.500,6,6480,0.000926,6,1,,,,
Test result,715861000000104,72.000,71.000,6,6480,0.000926,7,1.17,,,,
Numbness,44077006,72.000,71.500,6,6480,0.000926,8,1.33,,,,
Urine urobilinogen not tested,167322008,68.000,67.500,6,6480,0.000926,8,1.33,,,,
Falls assessment,408589008,75.500,75.000,6,6480,0.000926,6,1,,,,
Serum troponin T level,1015261000000102,67.000,66.000,6,6480,0.000926,7,1.17,5524.4,74,11464.11107762,24
Risk assessment status,407647007,73.000,72.000,6,6480,0.000926,6,1,,,,
Symptom aggravating factors,162473008,72.000,72.000,6,6480,0.000926,7,1.17,NaN,NaN,,NaN
Percutaneous transluminal balloon angioplasty with insertion of stent into coronary artery,429639007,79.000,78.500,6,6480,0.000926,6,1,,,,
Lasting power of attorney health and welfare,1991601000006103,81.500,81.000,6,6480,0.000926,6,1,,,,
Hypertension screening,171222001,61.000,61.000,6,6480,0.000926,7,1.17,,,,
Urine nitrite test = trace,201271000000102,75.000,74.000,6,6480,0.000926,6,1,,,,
Meralgia paraesthetica,85007004,64.000,63.500,6,6480,0.000926,16,2.67,NaN,NaN,,NaN
Laparotomy,86481000,76.000,76.000,6,6480,0.000926,7,1.17,,,,
Self manages medication,285036002,66.500,65.500,6,6480,0.000926,6,1,,,,
Exercise tolerance test,165079009,60.500,60.000,6,6480,0.000926,6,1,,,,
Subjective,255362007,90.000,89.000,6,6480,0.000926,27,4.5,,,,
Myeloperoxidase antibody level,1016681000000102,75.000,75.000,6,6480,0.000926,6,1,0.8333333333,0.2,1.551343504,0.2
Plasma GGT (gamma-glutamyl transferase) level,1000851000000108,71.500,71.000,6,6480,0.000926,8,1.33,67.875,44,57.217473605,43
Ex-pipe smoker,160620009,80.000,79.500,6,6480,0.000926,6,1,15.333333333,5,20.294498433,1
Dizziness present,162260006,54.000,53.000,6,6480,0.000926,9,1.5,NaN,NaN,NaN,NaN
Dispensing review of use of medicines invitation,772741000000105,74.000,73.500,6,6480,0.000926,6,1,,,,
[V]Fitting or adjustment of hearing aid,411511000000107,79.000,79.000,6,6480,0.000926,7,1.17,,,,
Suitable for STarT back screening tool,2005351000006100,80.000,80.000,6,6480,0.000926,8,1.33,,,,
Patient on waiting list for op,275585008,61.000,61.000,6,6480,0.000926,6,1,,,,
Increased body mass index,48499001,75.000,75.000,6,6480,0.000926,6,1,30.213333333,30.13,1.416839205,31.67
Unsteadiness present,267084003,83.500,82.500,6,6480,0.000926,8,1.33,NaN,NaN,NaN,NaN
Dementia monitoring second letter,717471000000101,83.500,83.500,6,6480,0.000926,6,1,,,,
Endomysial antibody IgA level,1007731000000106,64.000,63.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
Not for cardiopulmonary resuscitation,450476008,80.000,79.000,6,6480,0.000926,7,1.17,NaN,NaN,,NaN
Costochondritis,64109004,62.000,61.000,6,6480,0.000926,7,1.17,,,,
Baker's cyst,82675004,62.000,61.000,6,6480,0.000926,7,1.17,,,,
Diabetic macular oedema,312912001,78.000,77.000,6,6480,0.000926,10,1.67,,,,
Mobility - social functioning,160679008,77.500,77.000,6,6480,0.000926,6,1,,,,
Acute exacerbation of chronic obstructive pulmonary disease,195951007,73.000,72.000,6,6480,0.000926,9,1.5,NaN,NaN,NaN,NaN
MSU - Mid-stream urine sample,258574006,65.000,65.000,6,6480,0.000926,7,1.17,,,,
O/E - expiratory wheeze,162894004,72.000,72.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
DNA (did not attend) breast screening clinic,275981000000102,64.000,64.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
O/E - Right cataract absent,308090007,71.000,70.000,6,6480,0.000926,6,1,,,,
Spirometry test declined,415572005,66.000,65.500,6,6480,0.000926,6,1,,,,
Wants to lose weight,170805002,62.000,61.000,6,6480,0.000926,7,1.17,,,,
Coronary heart disease monitoring telephone invite,248461000000107,70.000,69.000,6,6480,0.000926,7,1.17,,,,
Referred to plastic surgeon,183550000,66.000,65.000,6,6480,0.000926,6,1,,,,
Proteinase 3 antibody level,995891000000100,75.000,75.000,6,6480,0.000926,6,1,0.2166666667,0.2,0.04082482905,0.2
Pain in thoracic spine,267981009,79.000,78.000,6,6480,0.000926,6,1,,,,
Hypothyroidism monitoring administration,713741000000106,84.000,83.000,6,6480,0.000926,7,1.17,,,,
Anal pain,68653001,73.500,73.000,6,6480,0.000926,6,1,,,,
Endocrinology,394583002,71.000,71.000,6,6480,0.000926,7,1.17,,,,
Creatinine clearance test,1015981000000103,77.500,77.000,6,6480,0.000926,6,1,67.5,51,28.247123747,48
Patient made appointment,185408004,69.000,68.000,6,6480,0.000926,9,1.5,,,,
Suspected chronic obstructive pulmonary disease,204991000000107,68.000,68.000,6,6480,0.000926,8,1.33,NaN,NaN,,NaN
Antihypertensive therapy,308116003,73.500,73.000,6,6480,0.000926,6,1,,,,
Uterine cervix visualised,314372002,52.500,52.500,6,6480,0.000926,6,1,,,,
Repeat prescription treatment started,170928000,65.000,64.000,6,6480,0.000926,9,1.5,,,,
[RFC] Reason for care : Not applicable,909071000006100,72.000,71.500,6,6480,0.000926,16,2.67,,,,
Prescription request by patient,1877591000006104,72.000,71.500,6,6480,0.000926,8,1.33,,,,
Antineoplastic chemotherapy regimen,716872004,67.000,66.000,6,6480,0.000926,8,1.33,,,,
Pleuritic pain,2237002,60.000,59.000,6,6480,0.000926,9,1.5,,,,
Medication review done by community pharmacist,719327002,68.000,68.000,6,6480,0.000926,6,1,,,,
QCancer testicular cancer risk,874191000000105,66.500,65.500,6,6480,0.000926,6,1,0,0,0,0
NHS Health Check declined,758661000000102,64.000,63.500,6,6480,0.000926,6,1,,,,
Referral for diabetic retinopathy screening,248161000000101,75.500,75.000,6,6480,0.000926,6,1,,,,
Swollen knee,248491001,63.500,63.000,6,6480,0.000926,8,1.33,NaN,NaN,NaN,NaN
Referral to hearing aid service,306218001,82.000,81.500,6,6480,0.000926,6,1,,,,
Referral letter status,413090001,75.000,75.000,6,6480,0.000926,6,1,,,,
Vaginal discharge symptom,162156001,73.000,72.000,6,6480,0.000926,7,1.17,,,,
Ankle injury,125603006,63.000,62.500,6,6480,0.000926,6,1,,,,
Data transferred from other system,25561000000105,70.000,69.000,6,6480,0.000926,6,1,,,,
Referral to heart failure clinic,134440006,84.000,83.500,6,6480,0.000926,6,1,NaN,NaN,,NaN
Dry mouth,87715008,81.000,81.000,6,6480,0.000926,7,1.17,,,,
Serum thyroid peroxidase antibody concentration,1004401000000101,73.000,72.000,6,6480,0.000926,9,1.5,62.2,17.2,127.245362849,44
Laceration of lower leg,283387008,73.500,73.500,6,6480,0.000926,24,4,,,,
Referral to elderly falls prevention clinic,248451000000109,79.000,78.500,6,6480,0.000926,6,1,,,,
Referral document,1910821000006101,71.500,71.500,6,6480,0.000926,10,1.67,,,,
Retrograde pyelogram,405250000,74.500,74.500,6,6480,0.000926,6,1,,,,
Laceration - injury,312608009,90.500,90.500,6,6480,0.000926,12,2,,,,
Stress at home,105485001,53.000,52.000,6,6480,0.000926,11,1.83,,,,
Lasting power of attorney personal welfare,341051000000100,84.000,83.000,6,6480,0.000926,6,1,,,,
Optimisation of medication,713838004,73.000,72.000,6,6480,0.000926,7,1.17,,,,
[RFC] Reason for care : Wound check,907911000006100,72.500,72.000,6,6480,0.000926,6,1,,,,
Chemotherapy,367336001,74.000,73.500,6,6480,0.000926,8,1.33,,,,
Extraction of cataract,54885007,81.500,81.000,6,6480,0.000926,8,1.33,,,,
Screening for malignant neoplasm of lung,275981009,68.000,67.500,6,6480,0.000926,6,1,,,,
Diurnal variation of peak expiratory flow rate,429745009,67.000,66.000,6,6480,0.000926,6,1,119.916666667,50,190.018003533,11.5
TYM (Test Your Memory) test total score,763123000,75.000,74.000,6,6480,0.000926,7,1.17,46.25,48.5,5.560275773,48
Verbal consent for assessment,1935361000006102,70.500,70.500,6,6480,0.000926,6,1,,,,
O/E - pupil reactions normal,164036003,73.500,73.500,6,6480,0.000926,6,1,,,,
Smoking cessation declaration signed by patient,904011000006105,68.500,67.500,6,6480,0.000926,12,2,,,,
Heart failure monitoring invitation,711461000000104,76.000,76.000,6,6480,0.000926,7,1.17,,,,
Neurosurgical referral,183546007,66.500,65.500,6,6480,0.000926,6,1,,,,
High vaginal swab culture,1011061000000106,63.000,63.000,6,6480,0.000926,7,1.17,,,,
Lives independently with spouse/partner,1009721000006109,80.000,79.500,6,6480,0.000926,6,1,,,,
Echocardiogram requested,401000009,83.000,82.000,6,6480,0.000926,6,1,,,,
Testicular lump,87860000,67.000,67.000,6,6480,0.000926,15,2.5,,,,
Discussion with colleague,1672911000006108,84.000,83.500,6,6480,0.000926,6,1,,,,
Checking accuracy of blood glucose meter,782011000000104,77.500,77.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
ECG: sinus bradycardia,426177001,75.500,75.500,6,6480,0.000926,6,1,,,,
Ophthalmic examination and evaluation,36228007,67.000,66.500,6,6480,0.000926,8,1.33,,,,
Using inhaled steroids - low dose,835731000000106,75.000,75.000,6,6480,0.000926,7,1.17,,,,
Signposting to health and wellbeing worker,1085371000000101,73.500,73.500,6,6480,0.000926,6,1,,,,
Mass of neck,299703001,65.000,65.000,6,6480,0.000926,7,1.17,,,,
Reason for encounter,717631000000101,63.000,62.000,6,6480,0.000926,6,1,,,,
Gastro-duodenal protection therapy,185581000000100,82.500,82.000,6,6480,0.000926,8,1.33,,,,
Consumer satisfaction questionnaire,273384008,57.000,57.000,6,6480,0.000926,27,4.5,,,,
Asthma resolved,162660004,75.000,74.500,6,6480,0.000926,6,1,,,,
Did not attend abdominal aortic aneurysm screening,736815004,66.000,65.000,6,6480,0.000926,7,1.17,,,,
Smear normal - patient notified,247931000000109,57.000,57.000,6,6480,0.000926,7,1.17,NaN,NaN,,NaN
Medication change to branded,279711000000109,65.000,64.000,6,6480,0.000926,6,1,,,,
Sputum microscopy,992441000000101,78.500,77.500,6,6480,0.000926,6,1,,,,
Assessment for risk of cardiovascular disease,441829007,67.000,67.000,6,6480,0.000926,6,1,,,,
Diabetes care plan declined,787061000000100,78.500,77.500,6,6480,0.000926,6,1,,,,
Antimalarial drug prophylaxis,420848008,36.000,36.000,6,6480,0.000926,14,2.33,,,,
Mammography - screening,24623002,69.500,69.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
Polyp,441456002,78.000,77.000,6,6480,0.000926,7,1.17,,,,
Benign paroxysmal positional vertigo,111541001,75.500,75.500,6,6480,0.000926,6,1,NaN,NaN,,NaN
Taxi cab driver medical exam,171344008,65.000,65.000,6,6480,0.000926,7,1.17,,,,
Ferritin level low,165626000,74.000,73.000,6,6480,0.000926,7,1.17,,,,
Hepatitis B surface antibody level,1014201000000102,61.000,60.000,6,6480,0.000926,7,1.17,330.855,160.71,468.150572751,1000
Referred by GP,108161000000109,69.000,68.500,6,6480,0.000926,10,1.67,,,,
Right,24028007,77.500,77.000,6,6480,0.000926,8,1.33,,,,
Optical coherence tomography,392010000,77.000,77.000,6,6480,0.000926,7,1.17,,,,
[D]Abnormal liver function test,166603001,61.000,61.000,6,6480,0.000926,8,1.33,,,,
Dressing of skin or wound,3895009,63.000,62.000,6,6480,0.000926,11,1.83,,,,
Seen in GP unit,199281000000101,69.500,69.000,6,6480,0.000926,6,1,,,,
Cholelithiasis,266474003,65.000,64.000,6,6480,0.000926,6,1,,,,
Seen in liver clinic,429519002,75.000,75.000,6,6480,0.000926,7,1.17,,,,
Rheumatoid arthritis monitoring invitation first letter,882401000000106,74.500,73.500,6,6480,0.000926,6,1,,,,
Telephone call from relative/carer,1672901000006105,80.000,79.500,6,6480,0.000926,12,2,,,,
Unspec cystoscopy and transurethral resection bladder lesion,386793005,60.000,60.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
Polyp of nasal cavity and/or nasal sinus,736499003,83.500,83.000,6,6480,0.000926,8,1.33,,,,
Left flank pain,162049009,71.000,71.000,6,6480,0.000926,9,1.5,,,,
Percentage reticulocyte count,1019541000000102,73.000,72.000,6,6480,0.000926,6,1,1.538333333,1.2,0.8653419363,3.2
Symptoms of depression,394924000,40.000,39.000,6,6480,0.000926,9,1.5,,,,
First degree atrioventricular block,270492004,81.000,80.500,6,6480,0.000926,6,1,,,,
On rectal examination of prostate abnormality detected,801000119105,75.000,75.000,6,6480,0.000926,6,1,,,,
Athlete's foot,6020002,67.000,67.000,6,6480,0.000926,7,1.17,,,,
120 minute plasma glucose level,1010711000000101,76.000,75.500,6,6480,0.000926,6,1,8.05,8.25,1.744419674,9.1
O/E - Vibration sense of left foot abnormal,308080004,78.500,77.500,6,6480,0.000926,6,1,,,,
Review of patient laboratory test report,324861000000109,83.000,83.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
Medication change to generic,407611006,74.000,73.500,6,6480,0.000926,6,1,,,,
Ear syringing not completed,784931000000103,74.000,73.500,6,6480,0.000926,6,1,,,,
Externally entered note,37291000000107,67.000,66.500,6,6480,0.000926,10,1.67,,,,
Viral gastroenteritis,111843007,64.500,64.000,6,6480,0.000926,6,1,,,,
GAD-7 score,445455005,67.000,66.000,6,6480,0.000926,6,1,7.8,8,6.57267069,8
General practice physical activity questionnaire,770231000000109,73.500,72.500,6,6480,0.000926,6,1,5,5,1.414213562,4
Acute kidney injury stage 2,851941000000103,78.000,78.000,6,6480,0.000926,6,1,,,,
Cystoscopy and biopsy of lesion of bladder,1208470003,80.000,79.500,6,6480,0.000926,6,1,,,,
Seen by cardiac pacemaker technician,314775002,81.000,80.000,6,6480,0.000926,8,1.33,,,,
Femoral neck DXA scan T score,440050006,65.500,65.000,6,6480,0.000926,6,1,-0.26,0.3,1.477497885,1
Signposting,975131000000104,82.000,82.000,6,6480,0.000926,8,1.33,,,,
Asthma limits walking up hills or stairs,370207001,66.500,66.000,6,6480,0.000926,6,1,,,,
Estimated creatinine clearance calculated using ideal body weight Cockcroft-Gault formula,1556511000000103,78.000,77.500,6,6480,0.000926,8,1.33,47.3375,46.05,21.384102072,30.4
Earache symptoms,162356005,68.000,68.000,6,6480,0.000926,7,1.17,,,,
Inpatient stay 2 days,183800000,68.500,68.500,6,6480,0.000926,6,1,,,,
Seen in chest clinic,185240002,51.000,51.000,6,6480,0.000926,9,1.5,,,,
Administration of prophylactic statin,315053001,80.000,80.000,6,6480,0.000926,7,1.17,NaN,NaN,,NaN
No FH: Venous thrombosis,313342001,66.000,65.500,6,6480,0.000926,6,1,,,,
Acute prostatitis,79411002,80.000,80.000,6,6480,0.000926,7,1.17,,,,
Risk of exposure to communicable disease,443999008,78.000,77.500,6,6480,0.000926,6,1,,,,
Radiology,394914008,60.000,59.000,6,6480,0.000926,7,1.17,,,,
Negative reversibility test to salbutamol,391111000,64.500,63.500,6,6480,0.000926,6,1,NaN,NaN,,NaN
Metamyelocyte count,1022631000000107,80.000,80.000,6,6480,0.000926,9,1.5,0,0,0,0
Epilepsy medication review,401062003,64.000,63.000,6,6480,0.000926,10,1.67,,,,
Health education - cardiovascular disease,429785003,56.000,55.000,6,6480,0.000926,6,1,,,,
Drug over usage checked,408369008,76.000,75.000,6,6480,0.000926,6,1,,,,
Breast cancer screening declined,12275351000119103,67.000,67.000,6,6480,0.000926,6,1,NaN,NaN,NaN,NaN
Blood glucose 5-6.9 mmol/L,166917008,61.500,61.000,6,6480,0.000926,6,1,5.68,5.445,0.5992995912,5.4
Flexible fibreoptic sigmoidoscopy,44441009,71.000,71.000,6,6480,0.000926,9,1.5,,,,
FH: Ischaemic heart disease at less than 60 years,266895004,66.000,65.000,6,6480,0.000926,6,1,,,,
O/E - PR - prostatic swelling,271302001,73.500,73.000,6,6480,0.000926,6,1,NaN,NaN,,NaN
QOF (Quality and Outcomes Framework) cardiovascular disease primary prevention quality indicator-related care invitation,1110891000000108,70.500,70.000,6,6480,0.000926,8,1.33,,,,
Referral to Social Services,306238000,83.000,82.500,6,6480,0.000926,8,1.33,,,,
