TERM,SNOMED_ID,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Perimenopausal atrophic vaginitis,408386002,69.000,10,277829,3.6e-05,15,1.5,,,,
Finding of integrity of skin,225547008,69.000,10,277829,3.6e-05,13,1.3,,,,
Psychotic,69322001,69.500,10,277829,3.6e-05,24,2.4,,,,
Signposting to dentist,1084291000000106,69.000,10,277829,3.6e-05,10,1,,,,
FP73 sent to FPC,9761000000106,69.000,10,277829,3.6e-05,15,1.5,,,,
Consent given for video recording for assessment,898691000000103,69.000,10,277829,3.6e-05,10,1,,,,
GAD-7 (Generalized Anxiety Disorder 7) scale declined,715508000,69.000,10,277829,3.6e-05,10,1,,,,
Diagnostic cystoscopy and bladder biopsy,236225008,69.000,10,277829,3.6e-05,13,1.3,,,,
Benign neoplasm of adrenal gland,91967007,69.000,10,277829,3.6e-05,12,1.2,,,,
Normal renal function,81141003,69.000,10,277829,3.6e-05,11,1.1,NaN,NaN,,NaN
"Exposure to toxic dust, occupational",102445001,69.000,10,277829,3.6e-05,14,1.4,NaN,NaN,NaN,NaN
O/E - BP reading very high,163028000,70.000,10,277829,3.6e-05,15,1.5,NaN,NaN,,NaN
O/E - absent right foot pulse,308072006,69.000,10,277829,3.6e-05,10,1,,,,
Sternoclavicular joint X-ray,168599006,69.000,10,277829,3.6e-05,10,1,NaN,NaN,,NaN
Referral to genitourinary clinic,415272006,69.000,10,277829,3.6e-05,11,1.1,,,,
Superficial burn NOS,403190006,69.000,10,277829,3.6e-05,13,1.3,,,,
Blister of toe,271189004,69.000,10,277829,3.6e-05,11,1.1,NaN,NaN,,NaN
Patient previous occupation,205121000000108,69.000,10,277829,3.6e-05,10,1,,,,
[D]Echocardiogram abnormal,169241000,69.000,10,277829,3.6e-05,14,1.4,,,,
Adverse reaction to Gliclazide,1081611000006109,69.500,10,277829,3.6e-05,10,1,,,,
General well-being finding,365275006,70.000,10,277829,3.6e-05,13,1.3,NaN,NaN,,NaN
Erythrocyte mean corpuscular volume determination,104133003,70.000,10,277829,3.6e-05,15,1.5,91.42,91.7,4.269359269,91.7
Has voluntary carer,823411000000109,69.000,10,277829,3.6e-05,10,1,NaN,NaN,,NaN
Repetitive strain injury,4308002,69.000,10,277829,3.6e-05,10,1,NaN,NaN,,NaN
Angina on effort,300995000,70.000,10,277829,3.6e-05,11,1.1,,,,
Research administrative procedure,308364004,69.000,10,277829,3.6e-05,10,1,,,,
Angio-oedema,41291007,70.000,10,277829,3.6e-05,12,1.2,NaN,NaN,,NaN
Interferon gamma assay positive,440662009,70.000,10,277829,3.6e-05,11,1.1,NaN,NaN,NaN,NaN
Inguinal hernia NOS,396232000,70.000,10,277829,3.6e-05,11,1.1,,,,
[RFC] Reason for care : Eye surgery,910441000006105,69.000,10,277829,3.6e-05,11,1.1,,,,
Born in - country,315354004,69.000,10,277829,3.6e-05,10,1,NaN,NaN,NaN,NaN
Reminding about keeping appointment,304515000,69.000,10,277829,3.6e-05,18,1.8,NaN,NaN,NaN,NaN
Breast screening - first recall,185706001,70.000,10,277829,3.6e-05,10,1,,,,
Diffuse oesophageal spasm,79962008,69.500,10,277829,3.6e-05,12,1.2,,,,
Referral to IAPT (Improving Access to Psychological Therapies) programme offered,1363001000000106,70.000,10,277829,3.6e-05,11,1.1,,,,
"Single major depressive episode, unspecified",36923009,69.000,10,277829,3.6e-05,15,1.5,,,,
Peeling of skin,271767006,70.000,10,277829,3.6e-05,12,1.2,,,,
PFR - Pelvic floor repair,236501004,69.000,10,277829,3.6e-05,10,1,,,,
Knife wound,425265006,69.500,10,277829,3.6e-05,10,1,NaN,NaN,NaN,NaN
Division of adhesions,303576000,69.500,10,277829,3.6e-05,10,1,,,,
Primary open reduction of fracture and internal fixation with K-wire,179023001,69.000,10,277829,3.6e-05,10,1,,,,
Exocrine pancreatic insufficiency,1709351000006104,69.000,10,277829,3.6e-05,15,1.5,NaN,NaN,NaN,NaN
C/O skin colour changes,1727451000006105,70.000,10,277829,3.6e-05,11,1.1,NaN,NaN,,NaN
Seen by community-based physiotherapist,305781009,69.000,10,277829,3.6e-05,12,1.2,NaN,NaN,,NaN
Plain X-ray spine abnormal,168572009,69.000,10,277829,3.6e-05,10,1,,,,
Stop smoking monitoring second letter,185793000,69.000,10,277829,3.6e-05,10,1,,,,
Therapeutic cervical epidural injection,171791003,69.000,10,277829,3.6e-05,12,1.2,NaN,NaN,NaN,NaN
Neuropathy assessment declined,729181000000108,70.000,10,277829,3.6e-05,10,1,,,,
Seen by vascular surgery service,305904007,70.000,10,277829,3.6e-05,12,1.2,,,,
Fluttering of heart,161969004,69.500,10,277829,3.6e-05,14,1.4,NaN,NaN,NaN,NaN
Isolation technique,40174006,69.500,10,277829,3.6e-05,12,1.2,,,,
Seen in general medicine accident and emergency department,1779111000006109,69.000,10,277829,3.6e-05,11,1.1,,,,
Closed fracture thoracic vertebra,207938004,70.000,10,277829,3.6e-05,21,2.1,NaN,NaN,NaN,NaN
Anti pertussis toxin IgG level,993201000000107,69.000,10,277829,3.6e-05,10,1,38.285714286,16,43.304019389,16
Has Carer Contingency Plan,1366321000000106,69.500,10,277829,3.6e-05,10,1,,,,
[D]Swollen glands,30746006,69.000,10,277829,3.6e-05,11,1.1,,,,
Unspecified polyarthropathy or polyarthritis,36186002,69.000,9,277829,3.2e-05,16,1.78,,,,
Mental health monitoring verbal invitation,416883000,70.000,9,277829,3.2e-05,11,1.22,NaN,NaN,,NaN
Occasional cigarette smoker,230059006,69.000,9,277829,3.2e-05,19,2.11,,,,
Social worker,106328005,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Lower leg,30021000,70.000,9,277829,3.2e-05,9,1,,,,
Ligation of haemorrhoidal artery,438456009,70.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
O/E - muscle power,163693000,69.000,9,277829,3.2e-05,11,1.22,NaN,NaN,NaN,NaN
Symptom findings in relation to start time,308918001,69.000,9,277829,3.2e-05,10,1.11,,,,
Plasma bicarbonate level,992991000000103,69.500,9,277829,3.2e-05,10,1.11,26.18,26.5,2.203935873,28
Adenovirus antibody level,995621000000104,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Sample: fungus - mycology,168214001,69.000,9,277829,3.2e-05,9,1,,,,
No safeguarding concern identified,1010194003,70.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Weakness of face muscles,95666008,69.000,9,277829,3.2e-05,10,1.11,,,,
Requires CMHT referral,851781000006101,69.000,9,277829,3.2e-05,9,1,,,,
Poor attender,185336008,70.000,9,277829,3.2e-05,9,1,,,,
Solar erythema,403194002,69.000,9,277829,3.2e-05,9,1,,,,
Referral to patient advice and liaison service,821741000000101,69.000,9,277829,3.2e-05,9,1,,,,
Secondary lymphoedema,28590005,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Hypersensitivity pneumonitis,37471005,69.000,9,277829,3.2e-05,13,1.44,,,,
Other anti-smoking drug given,37311000006101,69.000,9,277829,3.2e-05,9,1,,,,
History of supraventricular tachycardia,200071000000101,69.000,9,277829,3.2e-05,11,1.22,,,,
Test request : Anti-nuclear antibody level,1822671000006103,69.000,9,277829,3.2e-05,12,1.33,,,,
"Flatulence, eructation and gas pain",271832001,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Map of Medicine pathway,836581000000108,69.500,9,277829,3.2e-05,10,1.11,,,,
Blood group O,58460004,69.000,9,277829,3.2e-05,9,1,,,,
Soya bean RAST test,1016531000000102,70.000,9,277829,3.2e-05,9,1,0.2375,0.225,0.1600781059,0.1
Chromatin IgG antibody level,1010911000000104,70.000,9,277829,3.2e-05,9,1,0.2666666667,0.2,0.2,0.2
Examination of ear under anaesthetic,172747000,70.000,9,277829,3.2e-05,9,1,,,,
Cardiology clinic,702830005,69.000,9,277829,3.2e-05,13,1.44,NaN,NaN,,NaN
O/E: BCG scar present,416745009,69.000,9,277829,3.2e-05,9,1,,,,
Failed encounter - letter not collected,1696301000006102,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Haemoglobin level outside reference range,441793007,69.000,9,277829,3.2e-05,11,1.22,,,,
Sacroiliac joint,39723000,70.000,9,277829,3.2e-05,14,1.56,,,,
Near syncope,427461000,70.000,9,277829,3.2e-05,14,1.56,,,,
Arthroplasty of the knee,19063003,70.000,9,277829,3.2e-05,9,1,,,,
"Viral conjunctivitis, unspecified",45261009,70.000,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
Infected ulcer of skin,2622007,70.000,9,277829,3.2e-05,34,3.78,NaN,NaN,,NaN
H/O: food allergy,414285001,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
[M]Morphology of neoplasms,108369006,69.000,9,277829,3.2e-05,9,1,,,,
FP19 - TR > 15 days to FPC,22021000000104,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
[D]Chest lump,498281000000109,69.000,9,277829,3.2e-05,9,1,,,,
Med3 certification status,5121000000100,69.000,9,277829,3.2e-05,13,1.44,,,,
Needs assistance with communication,737350008,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Excepted from cardiovascular disease quality indicators - informed dissent,716211000000105,69.000,9,277829,3.2e-05,9,1,,,,
Disturbance in speech,29164008,69.000,9,277829,3.2e-05,11,1.22,,,,
Primary open reduction and internal fixation of proximal femoral fracture with screw/nail and plate device,265132005,69.500,9,277829,3.2e-05,14,1.56,NaN,NaN,NaN,NaN
Disorder of salivary gland,10890000,69.000,9,277829,3.2e-05,13,1.44,,,,
External auditory canal operation,232151004,69.000,9,277829,3.2e-05,9,1,NaN,NaN,NaN,NaN
Anti HBc (hepatitis B core) IgG level,995941000000101,70.000,9,277829,3.2e-05,9,1,,,,
Invitation for structured medication review declined,1363191000000100,69.000,9,277829,3.2e-05,9,1,NaN,NaN,NaN,NaN
Nonunion of fracture,302941001,69.000,9,277829,3.2e-05,14,1.56,,,,
Power of attorney held,186066002,69.000,9,277829,3.2e-05,9,1,,,,
Closed fracture of bone of knee joint,428151000,69.500,9,277829,3.2e-05,12,1.33,,,,
Insertion of catheter into urinary bladder,410024004,70.000,9,277829,3.2e-05,9,1,,,,
Assessment for rehabilitation,268388007,69.000,9,277829,3.2e-05,12,1.33,,,,
Exercise tolerance test contraindicated,414159007,69.000,9,277829,3.2e-05,9,1,,,,
Abscess of abdominal wall,80437003,69.000,9,277829,3.2e-05,12,1.33,NaN,NaN,,NaN
O/E - foreign body in ear,164227007,70.000,9,277829,3.2e-05,9,1,,,,
Herpes zoster with ophthalmic complication,186524006,69.000,9,277829,3.2e-05,15,1.67,NaN,NaN,,NaN
Construction/mining workers,160144007,69.000,9,277829,3.2e-05,9,1,,,,
Finding of bowel continence,300387008,69.000,9,277829,3.2e-05,27,3,,,,
FP34D NOS,4981000000103,69.000,9,277829,3.2e-05,21,2.33,NaN,NaN,,NaN
Bacterial infection due to Pseudomonas,63398001,70.000,9,277829,3.2e-05,12,1.33,NaN,NaN,NaN,NaN
Short falls efficacy scale - international score,445035000,69.000,9,277829,3.2e-05,15,1.67,12.4,12,5.779273311,12
Hypertensive renal disease,38481006,69.000,9,277829,3.2e-05,14,1.56,,,,
Idiopathic erythrocytosis,285777008,70.000,9,277829,3.2e-05,17,1.89,,,,
Pigmentary glaucoma,46168003,69.000,9,277829,3.2e-05,22,2.44,,,,
Disorder of sebaceous gland,3441005,69.000,9,277829,3.2e-05,9,1,,,,
Transsphenoidal hypophysectomy,171948002,69.000,9,277829,3.2e-05,17,1.89,,,,
Viral myalgia,240107001,69.000,9,277829,3.2e-05,10,1.11,,,,
Recent foreign travel to:,161086008,70.000,9,277829,3.2e-05,9,1,,,,
Suspected 2019-nCoV (novel coronavirus) infection,12802181000006102,70.000,9,277829,3.2e-05,14,1.56,,,,
North American origin,160516002,69.000,9,277829,3.2e-05,9,1,,,,
Meniscectomy,855181000006100,69.000,9,277829,3.2e-05,9,1,,,,
Cardiac arrest with successful resuscitation,233927002,69.000,9,277829,3.2e-05,11,1.22,,,,
Radionuclide bone study,41747008,69.000,9,277829,3.2e-05,9,1,,,,
Sarcoidosis of lung,24369008,70.000,9,277829,3.2e-05,18,2,NaN,NaN,NaN,NaN
Hydrocele operation,236347006,69.500,9,277829,3.2e-05,12,1.33,,,,
Osteoarthritis of proximal interphalangeal joint,239870005,69.000,9,277829,3.2e-05,11,1.22,NaN,NaN,,NaN
Clinical trial declined,763284001,69.000,9,277829,3.2e-05,9,1,NaN,51313,NaN,51313
O/E -weight 10-20% below ideal,162765000,69.000,9,277829,3.2e-05,13,1.44,57.561538462,60.6,6.040631653,62.7
Shoulder joint painful on movement,298857005,69.000,9,277829,3.2e-05,9,1,,,,
Haematochezia,405729008,69.000,9,277829,3.2e-05,11,1.22,,,,
Disability - slight,161043008,69.000,9,277829,3.2e-05,9,1,,,,
Occupational need assessment,183343000,70.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Referral to peripheral joint orthopaedic triage service,845451000000109,70.000,9,277829,3.2e-05,9,1,,,,
Foreign body sensation in eye,295521000000104,70.000,9,277829,3.2e-05,9,1,,,,
Acute sciatica,307176005,69.000,9,277829,3.2e-05,11,1.22,,,,
Sprain of ankle and foot,209529003,70.000,9,277829,3.2e-05,9,1,,,,
Proactive care needs assessment planned,1239471000000109,70.000,9,277829,3.2e-05,9,1,,,,
Serum triglycerides borderline,166847009,69.000,9,277829,3.2e-05,9,1,1.925,1.91,0.1078424777,1.9
Diabetic cataract,43959009,69.000,9,277829,3.2e-05,11,1.22,,,,
Radiologist,66862007,69.500,9,277829,3.2e-05,10,1.11,,,,
Email report,445678009,70.000,9,277829,3.2e-05,38,4.22,,,,
Adverse reaction to Amiodarone,1028611000006109,70.000,9,277829,3.2e-05,9,1,,,,
Head lice,81000006,70.000,9,277829,3.2e-05,10,1.11,,,,
COVID-19 antibody test positive,897034005,69.000,9,277829,3.2e-05,10,1.11,,,,
OTC sale,394826004,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Specimen collection,17636008,69.000,9,277829,3.2e-05,9,1,,,,
Myalgic encephalomyelitis,52702003,69.000,9,277829,3.2e-05,21,2.33,NaN,NaN,NaN,NaN
FP19 temporary resident form,24011000000102,69.000,9,277829,3.2e-05,9,1,,,,
Blood disorder monitoring,170828001,69.000,9,277829,3.2e-05,11,1.22,,,,
Intraductal papilloma,5244003,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Adverse reaction to Sertraline Hydrochloride,1062011000006105,70.000,9,277829,3.2e-05,9,1,,,,
Asymptomatic bacteriuria,720406004,69.500,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
Neoplasm of uncertain behaviour of skin,95087004,69.000,9,277829,3.2e-05,12,1.33,,,,
Diagnostic echocardiography NOS,40701008,70.000,9,277829,3.2e-05,9,1,,,,
Orthodontics referral,904631000006106,69.000,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
Declined consent for treatment,737038009,69.000,9,277829,3.2e-05,11,1.22,NaN,NaN,,NaN
Suprapubic catheter in situ,440311000,69.000,9,277829,3.2e-05,26,2.89,NaN,NaN,NaN,NaN
Degenerative change,33359002,69.000,9,277829,3.2e-05,10,1.11,,,,
Arthralgia of the forearm,267950000,69.000,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
Cauterisation of wart of skin,307273008,70.000,9,277829,3.2e-05,12,1.33,,,,
Disorder of patellofemoral joint,239732001,70.000,9,277829,3.2e-05,11,1.22,NaN,NaN,NaN,NaN
Lack of energy,248274002,70.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Erectile dysfunction due to diabetes mellitus,867891000000101,70.000,9,277829,3.2e-05,9,1,,,,
Dermatitis artefacta,27720003,69.500,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
Patient notified,419733004,69.000,9,277829,3.2e-05,9,1,,,,
Positive exercise ECG test,165084003,69.000,9,277829,3.2e-05,11,1.22,,,,
Pulse irregularly irregular,271637005,69.000,9,277829,3.2e-05,13,1.44,,,,
Lives in residential hostel,266939009,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
MDT (multidisciplinary team) letter,823781000000108,69.000,9,277829,3.2e-05,15,1.67,NaN,NaN,,NaN
Hospital notified of death,401321000,70.000,9,277829,3.2e-05,9,1,NaN,NaN,NaN,NaN
Ex-light smoker (1-9/day),1092111000000104,69.000,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
O/E - no crepitations,1807861000006104,70.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Human bite,242605002,69.000,9,277829,3.2e-05,11,1.22,,,,
Hand fracture - metacarpal bone,208393000,69.000,9,277829,3.2e-05,12,1.33,NaN,NaN,NaN,NaN
Operative procedure on hand,112746006,69.000,9,277829,3.2e-05,12,1.33,,,,
Erectile dysfunction screening not appropriate,918751000000108,69.000,9,277829,3.2e-05,10,1.11,,,,
Sore throat - chronic,275488008,69.000,9,277829,3.2e-05,11,1.22,,,,
Paronychia due to ingrown nail,773296007,69.000,9,277829,3.2e-05,12,1.33,NaN,NaN,NaN,NaN
Seen by clinical pharmacist in care home,1129891000000107,70.000,9,277829,3.2e-05,12,1.33,NaN,NaN,NaN,NaN
Risk of self neglect,401233007,70.000,9,277829,3.2e-05,11,1.22,,,,
Lack of mental capacity to make decision (Mental Capacity Act 2005),787381000000106,69.000,9,277829,3.2e-05,9,1,,,,
Ferritin measurement,489004,69.000,9,277829,3.2e-05,13,1.44,NaN,NaN,,NaN
Lobectomy of lung,173171007,69.000,9,277829,3.2e-05,15,1.67,NaN,NaN,NaN,NaN
Endocervical swab,285589007,69.000,9,277829,3.2e-05,9,1,,,,
Cerebral palsy,128188000,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Primary health care team falls assessment,408422004,69.000,9,277829,3.2e-05,23,2.56,,,,
Removal of nail plate,265698006,70.000,9,277829,3.2e-05,14,1.56,,,,
Seen by dermatology service,305810006,69.000,9,277829,3.2e-05,10,1.11,,,,
Adjustment reaction,17226007,69.000,9,277829,3.2e-05,13,1.44,,,,
Generalised seizure,246545002,69.000,9,277829,3.2e-05,14,1.56,NaN,NaN,,NaN
"Dupuytren's disease of finger(s), with contracture",203051006,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Follow-up 7-11 months,183626008,70.000,9,277829,3.2e-05,9,1,,,,
Having rigors,248457000,69.000,9,277829,3.2e-05,9,1,,,,
Adverse reaction to Drugs Used In Musculoskeletal And Joint Diseases,1010521000006109,70.000,9,277829,3.2e-05,9,1,,,,
On examination - right popliteal pulse absent,163105003,69.000,9,277829,3.2e-05,9,1,,,,
Patient advised about drug driving,1933021000006109,70.000,9,277829,3.2e-05,9,1,,,,
Bilateral chronic pain of feet,15749801000119104,69.000,9,277829,3.2e-05,9,1,,,,
Recent medication history,1820261000006108,69.000,9,277829,3.2e-05,9,1,,,,
Cat allergy,232346004,69.000,9,277829,3.2e-05,9,1,,,,
Osteonecrosis,397758007,69.000,9,277829,3.2e-05,10,1.11,,,,
Cardiography - ECG,46825001,69.000,9,277829,3.2e-05,9,1,,,,
Scarring alopecia,400088006,69.000,9,277829,3.2e-05,10,1.11,,,,
Oedema of eyelid,89091004,69.000,9,277829,3.2e-05,9,1,,,,
O/E - reduced movement of spine,164534005,69.000,9,277829,3.2e-05,9,1,,,,
Strain of supraspinatus tendon,209416001,70.000,9,277829,3.2e-05,13,1.44,,,,
Chronic obstructive pulmonary disease NOS,13645005,69.000,9,277829,3.2e-05,19,2.11,NaN,NaN,NaN,NaN
Ultrasonography of breast,47079000,69.000,9,277829,3.2e-05,9,1,,,,
Assisting with procedure,223455001,69.000,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
Adverse reaction to Pantoprazole,1070981000006109,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Dementia due to Pick's disease,21921000119103,69.000,9,277829,3.2e-05,12,1.33,,,,
Implantation of electrocardiography loop recorder,134367001,70.000,9,277829,3.2e-05,11,1.22,,,,
DNAR - Do not attempt resuscitation,304253006,69.000,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
Regular exercise,225925001,69.000,9,277829,3.2e-05,9,1,,,,
GMS4 claim - immunisation (Rate A) signed,931000000103,69.000,9,277829,3.2e-05,10,1.11,,,,
Adverse reaction to Solifenacin,1116551000006108,70.000,9,277829,3.2e-05,9,1,,,,
Tympanogram abnormal,164759004,69.000,9,277829,3.2e-05,9,1,,,,
O/E - nasal polyp present,736499003,70.000,9,277829,3.2e-05,14,1.56,,,,
Seen by stroke service,306810001,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Ear care,226008009,69.000,9,277829,3.2e-05,13,1.44,,,,
Seen by psychotherapist,305761008,69.000,9,277829,3.2e-05,9,1,,,,
Born in Portugal,315504006,69.000,9,277829,3.2e-05,9,1,,,,
Whooping cough,27836007,70.000,9,277829,3.2e-05,13,1.44,,,,
Miscellaneous operations NOS,387713003,69.000,9,277829,3.2e-05,9,1,,,,
Application of ABPM (ambulatory blood pressure monitor),448678005,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Crying,304534000,69.000,9,277829,3.2e-05,9,1,,,,
ISQ - Id status quo,260388006,70.000,9,277829,3.2e-05,10,1.11,,,,
Neovascular glaucoma,232086000,70.000,9,277829,3.2e-05,27,3,,,,
Heavy legs,161873000,69.000,9,277829,3.2e-05,19,2.11,,,,
Creation of arteriovenous fistula,27929005,69.000,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
Infectious disease notific.,270391007,69.000,9,277829,3.2e-05,12,1.33,,,,
Private referral to pain management service,885251000000103,70.000,9,277829,3.2e-05,9,1,,,,
Disabilities of the arm shoulder and hand outcome measure score,444948009,69.000,9,277829,3.2e-05,12,1.33,9,0,25.74702101,0
Clinic A monitor.phone invite,8921000000107,69.000,9,277829,3.2e-05,10,1.11,,,,
Over the counter statin therapy,414981001,69.000,9,277829,3.2e-05,9,1,,,,
Non-infective colitis NOS,14066009,69.000,9,277829,3.2e-05,19,2.11,,,,
Unknown risk of deliberate self harm,401232002,69.500,9,277829,3.2e-05,10,1.11,,,,
Phlebotomy domiciliary visit requested,248311000000101,69.000,9,277829,3.2e-05,13,1.44,NaN,NaN,NaN,NaN
Proximal myopathy,193255007,70.000,9,277829,3.2e-05,12,1.33,,,,
O/E - bone - crepitus,164595009,70.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Coxiella burnetii antibody level,992571000000108,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Suspected gallstones,390926006,69.000,9,277829,3.2e-05,13,1.44,NaN,NaN,,NaN
C/O - lumbar pain,161894002,69.000,9,277829,3.2e-05,13,1.44,,,,
Moderate risk of emergency hospital admission,1771481000006108,69.000,9,277829,3.2e-05,11,1.22,,,,
Social sec report sent off,184874003,69.000,9,277829,3.2e-05,9,1,,,,
Erect abdominal X-ray,268428008,69.000,9,277829,3.2e-05,9,1,,,,
Tendonitis of thumb,67801009,69.000,9,277829,3.2e-05,11,1.22,,,,
Acromioclavicular joint X-ray,168633004,69.000,9,277829,3.2e-05,9,1,,,,
Eustachian tube obstruction,48145001,69.500,9,277829,3.2e-05,10,1.11,NaN,NaN,NaN,NaN
Normal grief reaction,279644004,70.000,9,277829,3.2e-05,11,1.22,,,,
Parotid gland structure,45289007,69.000,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
A&E attendance - left department before being seen for treatment,1981851000006102,69.000,9,277829,3.2e-05,9,1,,,,
Drug rehabilitation,78092008,69.000,9,277829,3.2e-05,9,1,,,,
Penile structure,18911002,69.000,9,277829,3.2e-05,13,1.44,NaN,NaN,,NaN
Drug treatment not indicated,183966005,69.000,9,277829,3.2e-05,9,1,,,,
Injury of kidney,40095003,69.000,9,277829,3.2e-05,10,1.11,,,,
Feeling isolated,307048004,70.000,9,277829,3.2e-05,11,1.22,,,,
Chronic closed-angle glaucoma,33647009,69.500,9,277829,3.2e-05,10,1.11,NaN,NaN,NaN,NaN
Wells PE score - history of DVT or PE,1859511000006102,69.000,9,277829,3.2e-05,9,1,0.75,0,1.133893419,0
Structure of greater trochanter of femur,30547004,69.000,9,277829,3.2e-05,11,1.22,,,,
GAD-2 (generalised anxiety disorder 2) scale,836551000000102,69.000,9,277829,3.2e-05,11,1.22,,,,
Urinary tract infection NOS,68566005,70.000,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
Drusen of optic disc,33629003,70.000,9,277829,3.2e-05,10,1.11,NaN,NaN,,NaN
Allergy to peanuts,91935009,70.000,9,277829,3.2e-05,9,1,,,,
Heart failure resolved,521691000000100,69.000,9,277829,3.2e-05,9,1,,,,
Transient visual loss,36994005,69.500,9,277829,3.2e-05,14,1.56,NaN,NaN,,NaN
Nitrate indicated,135795008,70.000,9,277829,3.2e-05,11,1.22,,,,
Recurrent major depressive episodes,268621008,69.000,9,277829,3.2e-05,27,3,NaN,NaN,,NaN
Outcome of action,385676005,70.000,9,277829,3.2e-05,22,2.44,,,,
Referral to asthma clinic,415265005,69.000,9,277829,3.2e-05,10,1.11,,,,
"Mild major depression, single episode",79298009,69.000,9,277829,3.2e-05,22,2.44,,,,
Shrimp RAST test,1016521000000104,69.000,9,277829,3.2e-05,9,1,0.35375,0.35,0.1952242301,0.35
Provision of ACR ( albumin to creatinine ratio) semi-quantitative urinalysis home test kit declined,149641000000104,70.000,9,277829,3.2e-05,10,1.11,,,,
Night terrors,89675003,70.000,9,277829,3.2e-05,13,1.44,NaN,NaN,,NaN
[X]Dermatitis and eczema,43116000,70.000,9,277829,3.2e-05,10,1.11,,,,
Multi-agency action plan,1064391000000100,69.000,9,277829,3.2e-05,72,8,,,,
Streamed from emergency department to ambulatory emergency care service following initial assessment,1077081000000104,70.000,9,277829,3.2e-05,9,1,NaN,NaN,NaN,NaN
Acute allergic conjunctivitis,67678004,69.000,9,277829,3.2e-05,10,1.11,,,,
Nonalcoholic steatohepatitis,442685003,69.000,9,277829,3.2e-05,11,1.22,,,,
Alpha-1-antitrypsin deficiency,30188007,69.500,9,277829,3.2e-05,14,1.56,NaN,NaN,NaN,NaN
O/E - initial high BP,170581003,69.000,9,277829,3.2e-05,10,1.11,,,,
No incoordination,162258009,70.000,9,277829,3.2e-05,9,1,NaN,NaN,NaN,NaN
Other upper respiratory infections of multiple sites,54150009,69.000,9,277829,3.2e-05,9,1,NaN,NaN,NaN,NaN
Prostatitis and other inflammatory diseases of prostate,9713002,69.000,9,277829,3.2e-05,10,1.11,,,,
Halitosis,79879001,69.500,9,277829,3.2e-05,10,1.11,,,,
Helicobacter blood test positive,168382009,70.000,9,277829,3.2e-05,9,1,,,,
Family history of neoplasm of brain,430090006,69.000,9,277829,3.2e-05,9,1,,,,
Abducens (sixth) nerve palsy,398760006,69.000,9,277829,3.2e-05,13,1.44,,,,
O/E - skin scar,164399004,69.000,9,277829,3.2e-05,11,1.22,NaN,NaN,,NaN
[V]Screening for other eye condition,427101000000102,69.000,9,277829,3.2e-05,9,1,NaN,NaN,,NaN
Cholesteatoma of attic,38708003,69.000,9,277829,3.2e-05,10,1.11,,,,
Hypertension clinic administration,713661000000102,70.000,9,277829,3.2e-05,9,1,,,,
Infection of penis,309090002,70.000,9,277829,3.2e-05,9,1,,,,
Leg length inequality,45939007,69.000,9,277829,3.2e-05,9,1,,,,
Diagnostic fibreoptic bronchoscopy,173160006,69.000,9,277829,3.2e-05,9,1,,,,
Right colectomy,359571009,69.000,9,277829,3.2e-05,24,2.67,,,,
